Question,Answer,Answer Category - Relevant?,Answer Category - Well-formed?,Answer Category - Informative?,Answer Category - Acceptable?,Answer Category - Poor?,Answer Relevance (1-5),Approach
Is there any evidence to suggest geographic based virus mutations of COVID-19?,"A comparison of viral genomes between Australia and New Zealand reveals a close genetic similarity between strains 1 to 5 ( Figure 5 ), demonstrating that the viruses are essentially identical and only the geographical and temporal variation in isolates 1 and 5 is highly significant A comparison of viral genomes between Australia and New Zealand reveals a close genetic similarity between strains 1 to 5 ( Figure 5 ), demonstrating that the viruses are essentially identical and only the geographical and temporal variation in isolates 1 and 5 is highly significant It is also unclear whether strains 1 and 2 that are more closely related to the original Australian strains than strains 3 to 5 ( Figure 6 ) is a result of the same viral gene sequence from multiple locations",y,,,,,5,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
Is there any evidence to suggest geographic based virus mutations of COVID-19?,"The abovementioned analyses may only provide partial, biased, or uncertain analysis of viral evolution in the U A comparison of the phylogenetic properties of the U.S and European sequences, but we are not aware of any other analysis based on the analysis of such an extensive dataset of sequences",,y,,,,4,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
Is there any evidence to suggest geographic based virus mutations of COVID-19?,"The relative abundances of these putative proteins during an infection might also have a bearing on the virus type In addition, the consensus sequence at the 5'end was identical in all strains except for the strains from Guangdong Province The relative abundances of these putative proteins during an infection might also have a bearing on the virus type",y,,,,,5,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
Are there geographic variations in the rate of COVID-19 spread?,"If a country is likely to have a high degree of international spread and a high degree of spatial co-localisation among infected people, then it may be expected to experience high transmissibility A global analysis reveals that countries with high transmissibility were not always more interconnected in spread patterns A global analysis reveals that countries with high transmissibility were not always more interconnected in spread patterns",y,,,,,5,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
Are there geographic variations in the rate of COVID-19 spread?,"Do the spread patterns of COVID-19 occur predominantly in coastal areas and not in other areas of the world? If so, how? The main question that we have to answer is: (1) how are people in other countries to adapt to new infections, and how do they get to the US and other neighboring countries? (2) how do the newly emerging infections spread, and what do US public health officials do with the new infections? (3) What happens to people after they arrive? (4) how do they spread disease over long distance to the US? (5) at what stage do they develop a severe infection? (6) how do new diseases break into a large number of people, and how can our health-centered approaches to health prevent these infectious diseases in people? For decades, emerging pathogens have been a major threat for public health, especially when they are asymptomatic or are highly virulent Do the spread patterns of COVID-19 occur predominantly in coastal areas and not in other areas of the world? If so, how? The main question that we have to answer is: (1) how are people in other countries to adapt to new infections, and how do they get to the US and other neighboring countries? (2) how do the newly emerging infections spread, and what do US public health officials do with the new infections? (3) What happens to people after they arrive? (4) how do they spread disease over long distance to the US? (5) at what stage do they develop a severe infection? (6) how do new diseases break into a large number of people, and how can our health-centered approaches to health prevent these infectious diseases in people? For decades, emerging pathogens have been a major threat for public health, especially when they are asymptomatic or are highly virulent Complete a? Do the spread patterns of COVID-19 occur predominantly in coastal areas and not in other areas of the world? If so, how? The main question that we have to answer is: (1) how are people in other countries to adapt to new infections, and how do they get to the US and other neighboring countries? (2) how do the newly emerging infections spread, and what do US public health officials do with the new infections? (3) What happens to people after they arrive? (4) how do they spread disease over long distance to the US? (5) at what stage do they develop a severe infection? (6) how do new diseases break into a large number of people, and how can our health-centered approaches to health prevent these infectious diseases in people? For decades, emerging pathogens have been a major threat for public health, especially when they are asymptomatic or are highly virulent",y,,,,,5,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
Are there geographic variations in the rate of COVID-19 spread?,"In addition, this map was used to analyze the incidence of infected animal species and animal populations in China (Figure 3 ) In order to monitor infection and spread, a global map of the COVID-19 epidemic was also established for measuring its global spread In addition, this map was used to analyze the incidence of infected animal species and animal populations in China (Figure 3 )",y,,,,,5,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
Are there geographic variations in the rate of COVID-19 spread?,"The geographical distribution analysis shows that the first epidemic to spread in the Philippines was mainly over land routes ( Fig 2, Table 6 ) The geographical distribution analysis shows that the first epidemic to spread in the Philippines was mainly over land routes ( Fig 2, Table 6 ) For this reason, this is a useful dataset for future epidemiological researches to investigate the possible routes of COVID-19 transmission among different healthcare facilities",y,,,,,5,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
Are there geographic variations in the rate of COVID-19 spread?,"The main risk factors for the course of this epidemic include: (1) increasing population movement, particularly from the Arabian Peninsula (MCA), especially from the Middle East, to Southeast Asia, (2) the increased movement of large cargo ships and airports into Asia during the months from June to August, and (3) the increase in large-scale vessel traffic and international land crossings to Central and South America The main risk factor for the course of this epidemic is the combination of both factors; therefore, screening measures may be strengthened globally and in the Asia-Pacific region, and in particular after the initial phase of the epidemic The main risk factors for the course of this epidemic include: (1) increasing population movement, particularly from the Arabian Peninsula (MCA), especially from the Middle East, to Southeast Asia, (2) the increased movement of large cargo ships and airports into Asia during the months from June to August, and (3) the increase in large-scale vessel traffic and international land crossings to Central and South America",,y,,,,4,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
"What do we know about virus genetics, origin, and evolution of COVID-19?","To better understand and predict the potential evolution and emergence of viruses, a new method for estimating the genetic variation of viruses has been introduced To better understand and predict the potential evolution and emergence of viruses, a new method for estimating the genetic variation of viruses has been introduced Due to this, we have performed the sequencing of different virus genomes in different species to understand the nucleotide diversity",y,,,,,5,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
"What do we know about virus genetics, origin, and evolution of COVID-19?","In this review, we summarize the current knowledge surrounding virus ecology in birds and mammals and provide an overview of the virus's population dynamics We summarize the information regarding virus genomic and immunological properties, as well as the potential bioproliferation of virus populations In this review, we summarize the current knowledge surrounding virus ecology in birds and mammals and provide an overview of the virus's population dynamics",,y,,,,4,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
"What do we know about virus genetics, origin, and evolution of COVID-19?","For example, we identified two putative 'core' genes in the viral genome that are not covered in any of the virus strains used in our studies An additional putative 'core' gene from a second virus strain that is not covered in any of the viruses used is also identified elsewhere in the genome, and this is one of the major reasons that it is not possible to discern in human, animal and animal groups the exact location of this putative core gene location For example, we identified two putative 'core' genes in the viral genome that are not covered in any of the virus strains used in our studies",y,,,,,5,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
"What do we know about virus genetics, origin, and evolution of COVID-19?",The present study assessed the full genome sequence of all five coronaviruses and the related bafiniviruses to explore the virus diversity in wild and domestic birds in a Brazilian locality The present study assessed the full genome sequence of all five coronaviruses and the related bafiniviruses to explore the virus diversity in wild and domestic birds in a Brazilian locality The virus diversity was clearly correlated with the environmental conditions and to the genetic properties of the sequences,,y,,,,4,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
"What do we know about virus genetics, origin, and evolution of COVID-19?","In 2006, the first report of human viral respiratory syncytial virus (HRSV) cases on record was published by the Norwegian MHCI laboratory In 2006, the first report of human viral respiratory syncytial virus (HRSV) cases on record was published by the Norwegian MHCI laboratory Even though these studies provided evidence for the presence of NEL I viruses in healthcare-associated disease (HA-MDD), no studies",,,,y,,2,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
What has been published about ethical and social science considerations of COVID-19?,"However, many stakeholders, including the International Health Regulations (2005) and International Health Regulations (2005), were concerned about the potential for this new disease to emerge in other regions and pose global or regional health security challenges The WHO had issued a previous, emergency guideline of the National Influenza Centre of Health Research and Sierra Leone for national influenza preparedness in 2006 The WHO had issued a previous, emergency guideline of the National Influenza Centre of Health Research and Sierra Leone for national influenza preparedness in 2006",,y,,,,4,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
What has been published about ethical and social science considerations of COVID-19?,"Read about and discuss this information on ethical issues is a useful first step in assessing the ethical aspects of COVID-19 [6,, but it is not enough to justify taking action Read about and discuss this information on ethical issues is a useful first step in assessing the ethical aspects of COVID-19 [6,, but it is not enough to justify taking action In addition, more information, including analysis and interpretation of the ethical and social aspects of the WHO report and the findings of the WHO Collaborating Center, is needed to better understand these values, beliefs, and perspectives, to take action to prevent the future spread of this disease or to respond to its spread",,y,,,,4,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
What has been published about ethical and social science considerations of COVID-19?,"While the WHO recommended that governments should consider all aspects of global public health, this is not a universally applicable recommendation for other global public health problems This case study presents some of the reasons why the WHO-CED and World Bank-World Health Organization Collaborative have not adopted these recommendations and how this may be explained on the basis of different ethical and conceptual understandings While the WHO recommended that governments should consider all aspects of global public health, this is not a universally applicable recommendation for other global public health problems",y,,,,,5,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
What has been published about ethical and social science considerations of COVID-19?,"Several organizations have published guidance for applying ethical contextual and ethical decision-making to health care workers' work, but many remain unclear about how and how to apply existing ethical frameworks Several organizations have published guidance for applying ethical contextual and ethical decision-making to health care workers' work, but many remain unclear about how and how to apply existing ethical frameworks Several organizations have published guidance for applying ethical contextual and ethical decision-making to health care workers' work, but many remain unclear about how and how to apply existing ethical frameworks",y,,,,,5,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
What has been published about ethical and social science considerations of COVID-19?,"This consensus document was compiled using five articles, which, according to the Journal Global Ethics, constituted a good sample of ethical theory We, the author(s), an ethical and political philosopher and former President of the National Institute of Infectious Diseases (INSD), who worked for 15 years in France, wrote and distributed an international brief on the ethical issues of COVID-19 with the objective of alerting international actors to the global situation This consensus document was compiled using five articles, which, according to the Journal Global Ethics, constituted a good sample of ethical theory",y,,,,,5,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
What has been published about medical care of COVID-19?,"S Global Health Security, global health security, U Keyword search: What is the article title of the paper and why would someone be interested in it? Read full article 5 (May ) Keyword search: What could the term global health security mean? Keyword search: What could the paper mean to a reader? Read full article 6 (May ) Keywords: global health security, global health security, global health security, security, global health security, U.S",,,,,y,1,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
What has been published about medical care of COVID-19?,"We also briefly examine the relationship between the size of government expenditures of health care (and related services), and the risk of COVID-19 Studies have previously assessed the information management and surveillance procedures of public and private hospitals, as well as a study on a hospital in New York, USA, with a high incidence of hospital-acquired infections We also briefly examine the relationship between the size of government expenditures of health care (and related services), and the risk of COVID-19",,y,,,,4,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
What has been published about medical care of COVID-19?,"Most cases of respiratory viruses involve direct contact with body fluids Several human respiratory viral infections are caused by viruses associated with airway or respiratory tract infections, thus a large body fluids released after respiratory infection is a major concern for medical physicians Several human respiratory viral infections are caused by viruses associated with airway or respiratory tract infections, thus a large body fluids released after respiratory infection is a major concern for medical physicians",,y,,,,4,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
What has been published about medical care of COVID-19?,"In 2015, we conducted a nationwide survey on hospital infection control measures from October to January 2015 Data with respect to the information, experiences, and opinions were collected from the health and infection control personnel in five hospitals in Beijing, China Data with respect to the information, experiences, and opinions were collected from the health and infection control personnel in five hospitals in Beijing, China",,,,y,,2,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
What has been published about medical care of COVID-19?,"To what extent has it been improved in terms of access to health insurance coverage? Co-op care was not mentioned in the first draft of the report These can include hospitals, emergency medical services, and/or traditional health services To what extent has it been improved in terms of access to health insurance coverage? Co-op care was not mentioned in the first draft of the report",,,,y,,2,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
What do we know about diagnostics and surveillance of COVID-19?,"Data sources and methods that have been used in the national health surveillance systems in a manner with specific data needs include the World Health Organization (WHO), the Centers for Disease Control and Prevention (CDC), and the World Bank (WB) In this article we provide an exploratory data-based presentation of the data that are collected and processed in the national health surveillance systems Data sources and methods that have been used in the national health surveillance systems in a manner with specific data needs include the World Health Organization (WHO), the Centers for Disease Control and Prevention (CDC), and the World Bank (WB)",y,,,,,5,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
What do we know about diagnostics and surveillance of COVID-19?,"It is time for the WHO to release guidance on public health guidance on the appropriate use of isolation precautions and guidance to prevent the spread of COVID-19 It is time for the WHO to release guidance on public health guidance on the appropriate use of isolation precautions and guidance to prevent the spread of COVID-19 The WHO has made it clear that it will take a global approach to detecting COVID-19 epidemics, if not all international measures",y,,,,,5,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
What do we know about diagnostics and surveillance of COVID-19?,"To understand what is known and not known, one must take into account the WHO statement, which stated it did not recommend containment of COVID-19 as currently constituted To understand what is known and not known, one must take into account the WHO statement, which stated it did not recommend containment of COVID-19 as currently constituted However, the WHO alert made clear the WHO recommendation is an interim precaution for the global health community in the absence of further information emerging, and for the time being, the WHO recommendation appears to be justified by the fact that we have only just become aware of the epidemic",y,,,,,5,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
What do we know about diagnostics and surveillance of COVID-19?,The pilot trial was the first investigation of an automated assay to detect COVID-19 in samples tested by NxTAG® The pilot trial was the first investigation of an automated assay to detect COVID-19 in samples tested by NxTAG® This method for diagnostics is also being used as one of the diagnostic tests at our UK Centre for Disease Control (CDC),y,,,,,5,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
What do we know about diagnostics and surveillance of COVID-19?,"Here, we have summarized data on the detection of SARS-CoV using qPCR and RT-PCR assays for the first time worldwide and provide evidence for detection of COVID-19 in hospitalized persons WHO reports that no specific treatment is available as no specific antiviral is currently available (2) after each primer is added, a probe with 2 copies per reaction is added",y,,,,,5,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
What do we know about COVID-19 risk factors?,The risk of PEDV infection is not low in some cases The risk of PEDV infection is not low in some cases The World Health Organization recommends that health professionals should be vigilant about the risk factors associated with possible disease transmission,,,,,y,1,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
What do we know about COVID-19 risk factors?,"However, COVID-19 is now a threat to global health security In addition, it has become apparent that COVID-19 needs to be considered as a global health threat, and is likely to trigger a global threat from other diseases or individuals for a while However, COVID-19 is now a threat to global health security",,y,,,,4,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
What do we know about COVID-19 risk factors?,"Our knowledge of COVID-19 risk factors is limited, but it suggests that most people will not likely have been infected at work The results suggest that the risk of COVID-19 infection is not elevated at work for patients who were not vaccinated The results suggest that the risk of COVID-19 infection is not elevated at work for patients who were not vaccinated",y,,,,,5,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
What do we know about COVID-19 risk factors?,"Studies have also suggested that a number of co-occurring conditions, such as obesity and allergy, may affect the risk of COVID-19 and potentially have impact on the outcome Studies have also suggested that a number of co-occurring conditions, such as obesity and allergy, may affect the risk of COVID-19 and potentially have impact on the outcome However, in most cases these studies provided no information on the specific conditions identified as risk factors for the increased risk of COVID-19",y,,,,,5,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
What has been published about information sharing and inter-sectoral collaboration of COVID-19?,"Both the World Bank and World Trade Organization have called for the global health security framework to act as a hub for global security in the event of an international crisis (http://www The WHO is currently working to coordinate the spread of the epidemic to the remaining countries in the global network, to facilitate safe travel and trade, and to protect citizens' rights and fundamental interests Both the World Bank and World Trade Organization have called for the global health security framework to act as a hub for global security in the event of an international crisis (http://www.finance.gov/issues/2016-pandemic-pandemic-pandemic-protection.htm)",y,,,,,5,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
What has been published about information sharing and inter-sectoral collaboration of COVID-19?,"All these stakeholders contributed to the information sharing and informed discussion about the COVID-19 outbreak and shared their experience, experiences, and learning during the outbreak All these stakeholders contributed to the information sharing and informed discussion about the COVID-19 outbreak and shared their experience, experiences, and learning during the outbreak Common to inter-sectoral coordination are the procedures involved in sharing of information on the epidemic and in decision making on the response to the epidemic",,y,,,,4,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
What has been published about information sharing and inter-sectoral collaboration of COVID-19?,"In this context, the Global Health Observatory (GHO) was established via the WHO Collaborating Center for Health Security on April This is because they are often perceived as the creation of proprietary or national networks in response to individual conditions In this context, the Global Health Observatory (GHO) was established via the WHO Collaborating Center for Health Security on April",,y,,,,4,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
What has been published about information sharing and inter-sectoral collaboration of COVID-19?,"WHO) What are the major gaps? The global response to 2019-nCoV infection has been based on a number of international consensus mechanisms for sharing information and expertise, including bilateral, regional and multilateral organizations, and bilateral working arrangements with other countries or non-governmental organizations (e.g Such a system usually relies on the inter-sectorial working of many people and a shared understanding of the global threat and the global importance; therefore, a strong core network of support, coordination, and cooperation is required in order to effectively deal with the global threat",y,,,,,5,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
What do we know about vaccines and therapeutics of COVID-19?,"Because of their critical role in viral pathogenesis and host defense against infections, several drugs have been developed against COVID-19 With this in mind, we present evidence that drugs that inhibit pro-inflammatory responses (e.g., IL-6) have the potential to inhibit COVID-19 infection and viral replication in nonhuman primates after administration up to 12 days following infection Because of their critical role in viral pathogenesis and host defense against infections, several drugs have been developed against COVID-19",y,,,,,5,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
What do we know about vaccines and therapeutics of COVID-19?,"For example, if therapy only inhibits viral replication in cells, or inhibits virion assembly only in the presence of the relevant protease, combined therapy may prove insufficient to protect against the new infection Another strategy is to use combination therapies, combining drugs and/or vaccines to promote protection against multiple targets simultaneously For example, if therapy only inhibits viral replication in cells, or inhibits virion assembly only in the presence of the relevant protease, combined therapy may prove insufficient to protect against the new infection",y,,,,,5,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
What do we know about vaccines and therapeutics of COVID-19?,"There are multiple ways to reduce or enhance the efficacy of a vaccine or an antibiotic in the future Perhaps the development of a ""pre-boost"" (pre-vaccine) vaccine is the first option, in which the vaccine is pre-or early in life, to combat an infectious disease Perhaps the development of a ""pre-boost"" (pre-vaccine) vaccine is the first option, in which the vaccine is pre-or early in life, to combat an infectious disease",y,,,,,5,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
What do we know about vaccines and therapeutics of COVID-19?,"In the case of the antiviral drugs we study for this review, these drugs have been synthesized extensively more than 50 years ago Many antiviral drugs are still not fully known to the extent as to their efficacy and safety profiles Many antiviral drugs are still not fully known to the extent as to their efficacy and safety profiles",y,,,,,5,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
What do we know about vaccines and therapeutics of COVID-19?,"From the very first report of the epidemic, there have been multiple attempts to develop vaccines and therapeutics for COVID-19 From the very first report of the epidemic, there have been multiple attempts to develop vaccines and therapeutics for COVID-19 As reported, several vaccines have been tested as potential preventive tools against epidemic diseases",y,,,,,5,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
What do we know about non-pharmaceutical interventions of COVID-19?,"Second, the feasibility of the general medical services to reduce the use of non-pharmaceutical interventions To the best of our knowledge, this is the largest study to consider the potential impact of non-pharmaceutical interventions to reduce the use of nonpharmaceutical interventions and increase patient intake and outcomes To the best of our knowledge, this is the largest study to consider the potential impact of non-pharmaceutical interventions to reduce the use of nonpharmaceutical interventions and increase patient intake and outcomes",y,,,,,5,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
What do we know about non-pharmaceutical interventions of COVID-19?,"For example, the WHO's Global Health Action Plan and the WHO report on public information, especially in relation to infectious diseases, advocate use of information and resources to help WHO to deliver its goal of preventing global spread of infectious diseases and death from public health emergencies, but this will mean relying on the availability and accessibility of internet and mobile internet (1) (2) (3) (4) (5) For example, the WHO's Global Health Action Plan and the WHO report on public information, especially in relation to infectious diseases, advocate use of information and resources to help WHO to deliver its goal of preventing global spread of infectious diseases and death from public health emergencies, but this will mean relying on the availability and accessibility of internet and mobile internet (1) (2) (3) (4) (5) This allows us to test and verify the feasibility and timelability of internet connections at key points in disease transmission of global health importance where internet service providers are located",,y,,,,4,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
What do we know about non-pharmaceutical interventions of COVID-19?,"It has been shown that the maintenance of antimalarial and antifungal medication is not a common mode of administration in the treatment of COVID-19 ; therefore, we investigated this possibility in the present study Most physicians had been trained in the use of antimalarial drugs, with 48.4% of the physicians aware of and using pravastatin alone and 37.7% of the physicians aware of and using amiodarone combined with rimantadine/amiodarrel It has been shown that the maintenance of antimalarial and antifungal medication is not a common mode of administration in the treatment of COVID-19 ; therefore, we investigated this possibility in the present study",,,y,,,3,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
What do we know about non-pharmaceutical interventions of COVID-19?,"' 1 This was followed by a review of non-pharmaceutical interventions published by another author, suggesting that such a change in workforce impact may have occurred by early stage of the epidemic If such a change was, indeed, to occur, it is because many of the interventions discussed in both reviews were to be expected to have non-pharmaceutical health impact and/or to be of non-productive use If such a change was, indeed, to occur, it is because many of the interventions discussed in both reviews were to be expected to have non-pharmaceutical health impact and/or to be of non-productive use",y,,,,,5,"BERT-Large, Uncased: 24-layer, 1024-hidden, 16-heads, 340M parameters + Cosine Similarity (Scikit-learn)"
Are there geographic variations in the mortality rate of COVID-19?,"Overall, the mortality rate is estimated to have dropped from deaths per inhabitants on September 5 to deaths during the period In this study, we assessed the impact of global climate change on the observed mortality from the respiratory disease COVID-19 In this study, we assessed the impact of global climate change on the observed mortality from the respiratory disease COVID-19",,,y,,,3,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
Are there geographic variations in the mortality rate of COVID-19?,The tool can help countries determine whether the needs and risk for COVID-19 are similar to those in prior epidemics or outbreaks and could lead to improvements in health policy and management It is expected to provide information on epidemiological parameters relevant to health emergency preparedness and responses at the regional and national levels The tool can help countries determine whether the needs and risk for COVID-19 are similar to those in prior epidemics or outbreaks and could lead to improvements in health policy and management,,,y,,,3,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
Are there geographic variations in the mortality rate of COVID-19?,"0 per 1000 persons) age groups was similar ( Table 4 ) suggesting spatial variation was not due to a confounding effect from age While the overall mortality from COVID-19 was similar, the relative risk of mortality from other diseases (corresponding to other diseases) was not as high as from pneumonia While the overall mortality from COVID-19 was similar, the relative risk of mortality from other diseases (corresponding to other diseases) was not as high as from pneumonia",,y,,,,4,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
Are there geographic variations in the mortality rate of COVID-19?,"The case fatality ratio has a high correlation with the distance traveled to and from the origin for both cases and deaths The case fatality ratio has a high correlation with the distance traveled to and from the origin for both cases and deaths The case fatality ratio is correlated with the total distance traveled, the total distance traveled and time and is a direct measure of epidemic spread",,,,y,,2,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
"What is known about transmission, incubation, and environmental stability of COVID-19?","For example, a number of reports have suggested that animal and human hosts may have provided the necessary environment for the transmission of COVID-19 in people and poultry For example, a number of reports have suggested that animal and human hosts may have provided the necessary environment for the transmission of COVID-19 in people and poultry While bats are currently considered as an emerging mammalian order under the ICTV (Table S1 ), the possibility of animal-to-animal interactions as well as indirect transmissions and trans-species transmission remains a topic for",y,,,,,5,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
"What is known about transmission, incubation, and environmental stability of COVID-19?",The case of COVID-19 has demonstrated the ability to be managed rapidly and effectively during a crisis or emergency We have identified several important implications in an outbreak to emerge at a global scale The case of COVID-19 has demonstrated the ability to be managed rapidly and effectively during a crisis or emergency,,,y,,,3,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
"What is known about transmission, incubation, and environmental stability of COVID-19?","The relationship between risk conditions, including infection risk, transmission to other health workers, and patient-to-patient transmission has been analyzed in the context of patient flow, blood vessel walls, and the ED and in the context of the transmission mechanism and host factors The relationship between risk conditions, including infection risk, transmission to other health workers, and patient-to-patient transmission has been analyzed in the context of patient flow, blood vessel walls, and the ED and in the context of the transmission mechanism and host factors Therefore, functional virology has been utilized to test the role of ETAs, the extent of fluid overload, ED fluid handling, and the length of hospital stays in predicting mortality of Ebola patients",,y,,,,4,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
"What is known about transmission, incubation, and environmental stability of COVID-19?","In addition to routes in the air, we explored the potential routes of movement of a specific agent from their residence to places with known COVID-19 case clusters Finally, we explored the potential connection through which each country transmits the infection In addition to routes in the air, we explored the potential routes of movement of a specific agent from their residence to places with known COVID-19 case clusters",y,,,,,5,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
"What is known about transmission, incubation, and environmental stability of COVID-19?","Policy aims to influence, as far as it is feasible and costeffective, policy and regulatory decisions that will influence how countries control infectious disease interventions Policy aims to influence, as far as it is feasible and costeffective, policy and regulatory decisions that will influence how countries control infectious disease interventions Policy aims to influence, as far as it is feasible and costeffective, policy and regulatory decisions that will influence how countries control infectious disease interventions",,,,y,,2,BioBERT-Large v1.1 (+ PubMed 1M) - based on BERT-large-Cased (custom 30k vocabulary) + Cosine Similarity (Scikit-learn)
